system time,ID,DLC,CAN-FD,data
15:43:57.705,0x124,8,CAN,x| 68 0E 10 1D D8 13 23 00 
15:43:57.705,0x120,6,CAN,x| 02 43 0A A4 5D 03 
15:43:57.705,0x122,8,CAN,x| B0 00 00 03 13 00 00 00 
15:43:57.715,0x124,8,CAN,x| 68 0E 10 1D D8 13 20 00 
15:43:57.715,0x120,6,CAN,x| 02 43 0C A4 60 00 
15:43:57.715,0x122,8,CAN,x| B0 00 00 00 13 00 00 00 
15:43:57.717,0x13F,8,CAN,x| 00 0E 10 00 00 00 00 00 
15:43:57.725,0x124,8,CAN,x| 68 0E 10 1D D8 08 21 00 
15:43:57.725,0x120,6,CAN,x| 02 43 0C A4 60 01 
15:43:57.725,0x122,8,CAN,x| B0 00 00 01 08 00 00 00 
15:43:57.735,0x124,8,CAN,x| 68 0E 10 1D D8 13 22 00 
15:43:57.735,0x120,6,CAN,x| 02 43 0C A4 60 02 
15:43:57.735,0x122,8,CAN,x| B0 00 00 02 13 00 00 00 
15:43:57.737,0x13F,8,CAN,x| 00 0E 10 00 00 00 00 00 
15:43:57.745,0x124,8,CAN,x| 68 0E 10 1D D8 13 23 00 
15:43:57.745,0x120,6,CAN,x| 02 43 08 A4 60 03 
15:43:57.745,0x122,8,CAN,x| B0 00 00 03 13 00 00 00 
15:43:57.747,0x314,8,CAN,x| 00 00 00 00 00 00 91 01 
15:43:57.747,0x32E,8,CAN,x| 00 00 00 00 64 00 00 00 
15:43:57.755,0x124,8,CAN,x| 68 0E 10 1D D8 12 20 00 
15:43:57.755,0x120,6,CAN,x| 02 43 08 A4 5F 00 
15:43:57.755,0x122,8,CAN,x| B0 00 00 00 12 00 00 00 
15:43:57.757,0x13F,8,CAN,x| 00 0E 10 00 00 00 00 00 
15:43:57.765,0x124,8,CAN,x| 68 0E 10 1D D8 13 21 00 
15:43:57.765,0x120,6,CAN,x| 02 43 08 A4 5F 01 
15:43:57.765,0x122,8,CAN,x| B0 00 00 01 13 00 00 00 
15:43:57.775,0x124,8,CAN,x| 68 0E 10 1D D8 13 22 00 
15:43:57.775,0x120,6,CAN,x| 02 43 08 A4 5F 02 
15:43:57.775,0x122,8,CAN,x| B0 00 00 02 13 00 00 00 
15:43:57.775,0x310,8,CAN,x| 01 3B 00 00 00 00 08 00 
15:43:57.775,0x318,8,CAN,x| 01 41 FF 00 00 00 10 80 
15:43:57.777,0x13F,8,CAN,x| 00 0E 10 00 00 00 00 00 
15:43:57.785,0x124,8,CAN,x| 68 0E 10 1D D8 13 23 00 
15:43:57.785,0x120,6,CAN,x| 02 43 08 A4 60 03 
15:43:57.785,0x122,8,CAN,x| B0 00 00 03 13 00 00 00 
15:43:57.795,0x124,8,CAN,x| 68 0E 10 1D D8 12 20 00 
15:43:57.795,0x120,6,CAN,x| 02 43 08 A4 61 00 
15:43:57.795,0x122,8,CAN,x| B0 00 00 00 12 00 00 00 
15:43:57.797,0x13F,8,CAN,x| 00 0E 10 00 00 00 00 00 
