index,system time,time stamp,channel,Rx/Tx,ID,Frame,type,DLC,CAN-FD,data
74846,="15:44:27.248",0xB216BF4,1,Rx,0x500,Standard Frame,data frame,8,CAN,x| 75 03 3F 3F 3F 3F 3F 3F 
74847,="15:44:27.248",0xB216D20,1,Rx,0x32E,Standard Frame,data frame,8,CAN,x| 00 00 00 03 64 00 00 00 
74848,="15:44:27.256",0xB218E54,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 22 00 
74849,="15:44:27.256",0xB218F1C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 62 02 
74850,="15:44:27.256",0xB218FE4,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 13 00 00 00 
74851,="15:44:27.258",0xB2193CC,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74852,="15:44:27.266",0xB21B2A8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 23 00 
74853,="15:44:27.266",0xB21B370,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 12 A4 5F 03 
74854,="15:44:27.266",0xB21B438,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 13 00 00 00 
74855,="15:44:27.276",0xB21D954,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 20 00 
74856,="15:44:27.276",0xB21DA1C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 12 A4 5F 00 
74857,="15:44:27.276",0xB21DB48,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 13 00 00 00 
74858,="15:44:27.276",0xB21DC10,1,Rx,0x310,Standard Frame,data frame,8,CAN,x| 01 3D 00 00 00 00 08 00 
74859,="15:44:27.276",0xB21DD3C,1,Rx,0x318,Standard Frame,data frame,8,CAN,x| 01 41 FF 00 00 00 10 80 
74860,="15:44:27.276",0xB21E124,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74861,="15:44:27.286",0xB220258,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 21 00 
74862,="15:44:27.286",0xB220320,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 13 A4 5F 01 
74863,="15:44:27.286",0xB22044C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
74864,="15:44:27.296",0xB222774,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0D 22 00 
74865,="15:44:27.296",0xB22283C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 13 A4 61 02 
74866,="15:44:27.296",0xB222968,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 0D 00 00 00 
74867,="15:44:27.296",0xB222CEC,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74868,="15:44:27.306",0xB225140,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 23 00 
74869,="15:44:27.306",0xB225208,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 13 A4 62 03 
74870,="15:44:27.306",0xB225334,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 12 00 00 00 
